search_id,search_term,clicked,search_results_position
300,summer,0,4
837,airline,1,4
66,physical,1,1
625,cat,1,4
525,station,1,1
765,police,0,2
793,quality,1,5
397,cat,1,5
478,quality,1,3
305,national,1,5
866,airline,0,1
606,sister,0,2
400,cat,0,3
881,approach,1,2
283,police,0,5
374,approach,1,4
671,education,0,5
242,education,0,1
216,politics,0,1
620,approach,1,1
384,national,0,2
499,sister,0,3
222,hotel,1,4
301,dog,0,1
375,fire,1,5
373,sister,0,3
632,fire,1,2
520,dog,0,1
461,politics,0,3
5,airline,0,1
93,summer,0,4
565,church,0,4
277,approach,0,2
531,physical,1,4
939,education,0,2
396,hotel,0,2
370,law,1,5
101,police,0,2
22,approach,1,3
504,church,1,3
224,summer,1,5
349,dog,1,3
217,hotel,0,5
172,dog,0,4
828,approach,1,1
139,quality,1,1
693,rabbit,1,5
431,quality,0,3
290,education,1,4
94,law,0,3
556,approach,1,4
154,dog,1,2
446,education,1,2
537,fire,1,4
240,approach,0,5
274,approach,0,5
996,rabbit,1,2
56,police,0,4
681,airline,1,4
189,hotel,0,4
93,law,0,4
806,politics,0,4
292,police,0,1
319,airline,1,4
676,law,0,4
654,physical,0,1
516,station,1,2
297,church,0,3
372,quality,0,3
93,physical,1,1
804,rabbit,0,4
153,station,0,2
367,church,0,3
627,politics,0,4
484,quality,1,3
271,sister,1,1
77,rabbit,0,5
879,education,0,1
624,airline,0,4
126,education,0,4
336,quality,1,2
841,cat,1,1
279,dog,1,5
887,approach,1,1
248,physical,0,3
387,station,1,1
796,airline,0,1
585,cat,1,2
684,dog,0,5
283,airline,0,5
785,politics,0,1
356,sister,0,3
364,quality,1,2
637,police,0,3
446,station,1,3
640,dog,1,3
109,hotel,1,2
10,rabbit,0,2
330,physical,1,3
255,rabbit,1,1
538,dog,1,5
596,quality,0,1
439,dog,1,2
224,police,0,3
74,politics,1,4
613,politics,1,3
131,hotel,1,3
403,cat,0,3
915,church,1,1
628,police,0,5
539,law,1,4
319,quality,1,4
638,law,0,4
369,airline,1,4
541,politics,0,1
807,national,0,2
952,church,1,5
8,church,0,5
709,station,0,4
88,church,0,3
82,dog,0,1
544,dog,1,3
606,approach,1,4
619,station,0,5
500,physical,1,4
451,summer,0,3
614,national,0,5
380,national,0,2
4,sister,0,1
13,quality,0,4
23,cat,1,5
409,sister,1,2
687,physical,1,3
92,sister,0,3
780,church,0,4
137,politics,0,1
503,approach,0,4
427,law,1,4
615,national,0,4
112,station,1,2
86,airline,1,1
714,station,1,1
406,approach,0,4
912,approach,1,4
636,law,0,4
715,summer,0,3
975,politics,0,4
251,station,1,2
830,physical,1,4
977,politics,0,2
60,police,1,1
76,airline,0,2
704,airline,0,3
646,summer,1,5
882,education,1,5
794,sister,1,2
593,airline,1,1
105,sister,1,4
924,police,0,4
580,fire,1,4
171,dog,0,5
889,fire,0,1
674,church,0,1
127,education,1,5
925,education,0,5
613,quality,1,3
102,national,0,1
901,cat,1,2
69,station,1,5
77,church,1,1
616,cat,1,3
218,dog,0,3
636,hotel,0,4
908,station,0,1
2,physical,0,2
806,approach,0,3
576,physical,1,3
73,approach,0,5
629,sister,0,1
332,approach,0,3
684,fire,0,3
7,law,1,5
400,law,0,1
133,station,0,2
531,rabbit,0,5
350,summer,0,2
668,national,0,2
357,education,1,5
131,education,0,1
901,quality,0,1
929,quality,0,4
301,cat,1,3
846,fire,1,2
977,dog,1,4
201,dog,0,5
871,approach,1,4
728,airline,0,5
439,national,1,3
219,quality,0,2
381,fire,1,2
646,police,0,5
776,summer,0,5
862,airline,0,4
565,approach,0,3
281,airline,0,1
373,politics,1,1
703,approach,1,3
486,fire,1,4
141,fire,0,2
672,sister,0,3
284,approach,0,1
179,national,1,3
93,dog,1,3
841,education,1,4
69,physical,1,3
74,politics,0,3
195,station,1,2
432,police,1,5
566,rabbit,1,3
700,law,0,1
650,quality,1,1
741,cat,0,2
770,education,0,1
831,rabbit,1,2
887,national,1,1
429,church,1,1
76,church,1,2
261,station,1,3
163,approach,0,4
565,church,1,5
509,summer,0,1
235,national,0,2
957,sister,0,1
236,physical,0,2
262,police,0,3
591,station,1,2
270,rabbit,0,1
560,quality,0,1
770,hotel,1,4
55,dog,0,3
760,station,0,4
714,politics,0,2
72,cat,1,4
455,church,1,4
89,sister,0,5
808,quality,0,1
591,politics,0,1
732,law,1,1
677,police,1,2
23,airline,1,3
272,dog,0,1
467,airline,1,5
403,national,0,4
293,airline,0,4
333,cat,1,3
405,physical,0,3
627,physical,1,3
919,hotel,1,1
141,approach,0,2
611,law,1,5
917,hotel,0,4
252,politics,0,4
191,sister,0,3
835,education,0,2
463,physical,0,4
242,summer,1,2
307,rabbit,1,4
11,sister,1,5
390,politics,1,2
333,sister,1,2
488,sister,0,2
43,summer,1,5
306,summer,1,5
140,police,0,2
145,summer,0,3
155,dog,0,1
854,approach,1,5
765,airline,1,5
677,station,0,1
852,summer,1,2
749,dog,1,1
155,hotel,0,2
319,police,1,2
685,rabbit,0,1
979,hotel,1,2
822,hotel,0,4
154,cat,1,5
507,politics,1,4
51,summer,0,5
170,police,0,4
437,physical,0,3
191,summer,1,2
233,education,1,1
100,education,0,2
70,fire,1,3
154,education,0,2
888,sister,1,1
498,airline,0,3
794,fire,0,4
291,quality,0,2
386,airline,0,2
204,education,1,5
477,cat,1,4
171,rabbit,1,5
368,dog,1,5
381,physical,0,1
396,cat,0,3
37,quality,0,5
947,sister,1,2
313,dog,1,1
873,summer,1,1
769,rabbit,1,2
97,sister,1,4
792,police,0,3
602,sister,1,3
450,physical,0,4
979,police,0,4
605,station,1,1
840,sister,1,2
661,rabbit,1,3
817,national,0,5
219,quality,0,3
47,police,1,4
765,dog,0,3
477,physical,0,4
293,quality,0,4
361,station,0,4
875,airline,1,1
626,rabbit,1,4
804,summer,1,3
126,education,0,2
826,dog,1,1
538,cat,1,2
918,rabbit,1,3
924,dog,1,2
450,politics,1,1
315,cat,0,4
815,church,0,4
337,national,1,4
898,politics,1,2
424,education,1,1
681,national,1,3
849,station,1,3
441,fire,1,4
387,airline,0,4
806,station,1,4
684,church,0,3
745,physical,1,4
513,cat,1,5
925,sister,1,4
469,police,0,4
525,police,0,5
799,approach,1,3
832,physical,0,2
249,fire,0,1
903,station,0,3
141,quality,1,1
307,law,1,3
219,dog,0,4
479,approach,0,3
290,cat,0,4
180,fire,1,3
60,rabbit,0,4
876,cat,1,5
912,police,0,4
563,dog,1,1
